(2/(5*(0*(6-6))))	(/2(*5(*0(-66))))	(2(5(0(66-)*)*)/)
(7*(3+((4*0)-1)))	(*7(+3(-(*40)1)))	(7(3((40*)1-)+)*)
(5*(5-((2*4)/(5+4))))	(*5(-5(/(*24)(+54))))	(5(5((24*)(54+)/)-)*)
(1-((7/6)+(2*(3-9))))	(-1(+(/76)(*2(-39))))	(1((76/)(2(39-)*)+)-)
(1/((8-1)*((3/1)*0)))	(/1(*(-81)(*(/31)0)))	(1((81-)((31/)0*)*)/)
(5*((4+7)-((0-5)-(2-0))))	(*5(-(+47)(-(-05)(-20))))	(5((47+)((05-)(20-)-)-)*)
(0/((4-(5-1))+9))	(/0(+(-4(-51))9))	(0((4(51-)-)9+)/)
(9/((9+(9/0))/(4/4)))	(/9(/(+9(/90))(/44)))	(9((9(90/)+)(44/)/)/)
(9-((3*(9-6))/(2-(0-2))))	(-9(/(*3(-96))(-2(-02))))	(9((3(96-)*)(2(02-)-)/)-)
(9*((4*(0/8))/((9/5)-6)))	(*9(/(*4(/08))(-(/95)6)))	(9((4(08/)*)((95/)6-)/)*)
(1+((5/(8-5))/((3+7)-(9+8))))	(+1(/(/5(-85))(-(+37)(+98))))	(1((5(85-)/)((37+)(98+)-)/)+)
(8-(((1/6)+5)-7))	(-8(-(+(/16)5)7))	(8(((16/)5+)7-)-)
(7/(((5+8)*6)-(3-6)))	(/7(-(*(+58)6)(-36)))	(7(((58+)6*)(36-)-)/)
(1/(((1-3)*0)*(8/(6-1))))	(/1(*(*(-13)0)(/8(-61))))	(1(((13-)0*)(8(61-)/)*)/)
(4/(((5+8)-4)-((2/5)+2)))	(/4(-(-(+58)4)(+(/25)2)))	(4(((58+)4-)((25/)2+)-)/)
(7+(((2/3)-1)*((8/2)-(6*2))))	(+7(*(-(/23)1)(-(/82)(*62))))	(7(((23/)1-)((82/)(62*)-)*)+)
(3-(((1+4)-(1-7))-2))	(-3(-(-(+14)(-17))2))	(3(((14+)(17-)-)2-)-)
(0-(((7*9)+(8+4))-(7/5)))	(-0(-(+(*79)(+84))(/75)))	(0(((79*)(84+)+)(75/)-)-)
(9/(((8/4)*(9+3))-(5-(3+8))))	(/9(-(*(/84)(+93))(-5(+38))))	(9(((84/)(93+)*)(5(38+)-)-)/)
(1/(((7+0)+(6-4))-((5/3)/7)))	(/1(-(+(+70)(-64))(/(/53)7)))	(1(((70+)(64-)+)((53/)7/)-)/)
