(((1*6)-(6/4))/((5*3)*3))	(/(-(*16)(/64))(*(*53)3))	(((16*)(64/)-)((53*)3*)/)
(((6-0)*(2*2))/(2-(9-6)))	(/(*(-60)(*22))(-2(-96)))	(((60-)(22*)*)(2(96-)-)/)
(((3-8)-(3/5))-((2-9)+6))	(-(-(-38)(/35))(+(-29)6))	(((38-)(35/)-)((29-)6+)-)
((0/(2-0))-((8/1)/(1-0)))	(-(/0(-20))(/(/81)(-10)))	((0(20-)/)((81/)(10-)/)-)
(((7-1)-(0/5))*(3+(8*6)))	(*(-(-71)(/05))(+3(*86)))	(((71-)(05/)-)(3(86*)+)*)
(((3-0)+(6+7))+((9+5)-(4-0)))	(+(+(-30)(+67))(-(+95)(-40)))	(((30-)(67+)+)((95+)(40-)-)+)
(((7*8)*(3-2))/((2+6)-(5-1)))	(/(*(*78)(-32))(-(+26)(-51)))	(((78*)(32-)*)((26+)(51-)-)/)
((9-5)+((5*4)*(4+9)))	(+(-95)(*(*54)(+49)))	((95-)((54*)(49+)*)+)
(((2/6)/(0+3))-(3-(5*8)))	(-(/(/26)(+03))(-3(*58)))	(((26/)(03+)/)(3(58*)-)-)
((3/(8/8))*((7*3)-(7+3)))	(*(/3(/88))(-(*73)(+73)))	((3(88/)/)((73*)(73+)-)*)
((4-(1/3))-((7*4)-5))	(-(-4(/13))(-(*74)5))	((4(13/)-)((74*)5-)-)
((1+9)*((7+8)/4))	(*(+19)(/(+78)4))	((19+)((78+)4/)*)
(((4*8)/(5+6))*((0*7)*(9*3)))	(*(/(*48)(+56))(*(*07)(*93)))	(((48*)(56+)/)((07*)(93*)*)*)
(((9/4)/(7/0))-(0*(6-4)))	(-(/(/94)(/70))(*0(-64)))	(((94/)(70/)/)(0(64-)*)-)
(((6/9)*3)+((2-6)+(9*4)))	(+(*(/69)3)(+(-26)(*94)))	(((69/)3*)((26-)(94*)+)+)
((2*(4*2))-((7-0)-(4*6)))	(-(*2(*42))(-(-70)(*46)))	((2(42*)*)((70-)(46*)-)-)
(((8+0)-(9+7))*((8*9)-(7/4)))	(*(-(+80)(+97))(-(*89)(/74)))	(((80+)(97+)-)((89*)(74/)-)*)
(((9/6)-(4-2))/(8-(4/4)))	(/(-(/96)(-42))(-8(/44)))	(((96/)(42-)-)(8(44/)-)/)
((6-(9*7))*((4+0)-(6-8)))	(*(-6(*97))(-(+40)(-68)))	((6(97*)-)((40+)(68-)-)*)
((8+(7*3))+(7+(7*2)))	(+(+8(*73))(+7(*72)))	((8(73*)+)(7(72*)+)+)
(((0*7)+(8/3))+((7-8)-(2+9)))	(+(+(*07)(/83))(-(-78)(+29)))	(((07*)(83/)+)((78-)(29+)-)+)
(((3+6)/(8*5))*(2-(6-9)))	(*(/(+36)(*85))(-2(-69)))	(((36+)(85*)/)(2(69-)-)*)
(((3*0)-3)*((9-0)+5))	(*(-(*30)3)(+(-90)5))	(((30*)3-)((90-)5+)*)
(((1/8)+(6/5))/(4/(8*3)))	(/(+(/18)(/65))(/4(*83)))	(((18/)(65/)+)(4(83*)/)/)
((9/(6*2))+((8*7)-(2/5)))	(+(/9(*62))(-(*87)(/25)))	((9(62*)/)((87*)(25/)-)+)
(((8+9)+3)/((6*9)/1))	(/(+(+89)3)(/(*69)1))	(((89+)3+)((69*)1/)/)
((9+(6*8))/((8-6)-(0/8)))	(/(+9(*68))(-(-86)(/08)))	((9(68*)+)((86-)(08/)-)/)
(((5-4)-6)-((3-4)+(5+7)))	(-(-(-54)6)(+(-34)(+57)))	(((54-)6-)((34-)(57+)+)-)
(((4/2)-(4/9))/((4+5)/(3+2)))	(/(-(/42)(/49))(/(+45)(+32)))	(((42/)(49/)-)((45+)(32+)/)/)
((9*9)/((9/9)+(5*6)))	(/(*99)(+(/99)(*56)))	((99*)((99/)(56*)+)/)
(((9+3)-8)+((2/3)+(8*6)))	(+(-(+93)8)(+(/23)(*86)))	(((93+)8-)((23/)(86*)+)+)
(((0-9)/0)+((7/6)-(0+4)))	(+(/(-09)0)(-(/76)(+04)))	(((09-)0/)((76/)(04+)-)+)
((9-5)*((5+4)*(2-9)))	(*(-95)(*(+54)(-29)))	((95-)((54+)(29-)*)*)
(((9*7)-(3+4))/((4-6)/(7*1)))	(/(-(*97)(+34))(/(-46)(*71)))	(((97*)(34+)-)((46-)(71*)/)/)
(((3+2)-(0-8))+((6-3)+(7-7)))	(+(-(+32)(-08))(+(-63)(-77)))	(((32+)(08-)-)((63-)(77-)+)+)
(((6*5)/5)-((5/4)*(6*7)))	(-(/(*65)5)(*(/54)(*67)))	(((65*)5/)((54/)(67*)*)-)
(((8/5)+8)+(3/(1/4)))	(+(+(/85)8)(/3(/14)))	(((85/)8+)(3(14/)/)+)
(((8/2)/(4-4))/((3-4)*6))	(/(/(/82)(-44))(*(-34)6))	(((82/)(44-)/)((34-)6*)/)
(((5/1)*6)/((8*8)/2))	(/(*(/51)6)(/(*88)2))	(((51/)6*)((88*)2/)/)
(((8/3)*(8*7))-((3-3)/(7*9)))	(-(*(/83)(*87))(/(-33)(*79)))	(((83/)(87*)*)((33-)(79*)/)-)
((2/5)+((2-6)+(7*6)))	(+(/25)(+(-26)(*76)))	((25/)((26-)(76*)+)+)
(9/((1/8)-(0/2)))	(/9(-(/18)(/02)))	(9((18/)(02/)-)/)
(((7-5)/(8/8))/((8/0)*(6/8)))	(/(/(-75)(/88))(*(/80)(/68)))	(((75-)(88/)/)((80/)(68/)*)/)
(((9-5)+(9-6))-((9/4)+(4/9)))	(-(+(-95)(-96))(+(/94)(/49)))	(((95-)(96-)+)((94/)(49/)+)-)
(((3/5)+(4-6))/(8*8))	(/(+(/35)(-46))(*88))	(((35/)(46-)+)(88*)/)
(((1+9)/0)*((9+4)-(7-8)))	(*(/(+19)0)(-(+94)(-78)))	(((19+)0/)((94+)(78-)-)*)
(((9+9)-(2-5))+((7*6)+(3+6)))	(+(-(+99)(-25))(+(*76)(+36)))	(((99+)(25-)-)((76*)(36+)+)+)
(((2-0)/(5+9))+((8-2)/(7*2)))	(+(/(-20)(+59))(/(-82)(*72)))	(((20-)(59+)/)((82-)(72*)/)+)
(((2-0)-(7/0))+((9/7)/(2/3)))	(+(-(-20)(/70))(/(/97)(/23)))	(((20-)(70/)-)((97/)(23/)/)+)
(((0-2)/0)-((5+9)+2))	(-(/(-02)0)(+(+59)2))	(((02-)0/)((59+)2+)-)
(((2+4)+(8/3))*((9/3)+(0*7)))	(*(+(+24)(/83))(+(/93)(*07)))	(((24+)(83/)+)((93/)(07*)+)*)
(((8-1)/(0+5))*((4+3)*(2-1)))	(*(/(-81)(+05))(*(+43)(-21)))	(((81-)(05+)/)((43+)(21-)*)*)
(((4/1)-(5+1))/(1*(7*6)))	(/(-(/41)(+51))(*1(*76)))	(((41/)(51+)-)(1(76*)*)/)
(((2+0)/(3-5))/((0-3)/(4-7)))	(/(/(+20)(-35))(/(-03)(-47)))	(((20+)(35-)/)((03-)(47-)/)/)
(((2-6)+(2+6))*5)	(*(+(-26)(+26))5)	(((26-)(26+)+)5*)
((2/2)/((0-0)+2))	(/(/22)(+(-00)2))	((22/)((00-)2+)/)
(((7-6)*9)/((7+1)*(9+0)))	(/(*(-76)9)(*(+71)(+90)))	(((76-)9*)((71+)(90+)*)/)
((9-(3-6))/((6*0)/(7-8)))	(/(-9(-36))(/(*60)(-78)))	((9(36-)-)((60*)(78-)/)/)
(((2*1)-(5-3))-(7+(2-4)))	(-(-(*21)(-53))(+7(-24)))	(((21*)(53-)-)(7(24-)+)-)
(((8/7)/(6*8))/((6*3)*(5/3)))	(/(/(/87)(*68))(*(*63)(/53)))	(((87/)(68*)/)((63*)(53/)*)/)
((1+(4/9))*((9/2)-(6*1)))	(*(+1(/49))(-(/92)(*61)))	((1(49/)+)((92/)(61*)-)*)
(((4-3)/6)/((7/9)*(7+7)))	(/(/(-43)6)(*(/79)(+77)))	(((43-)6/)((79/)(77+)*)/)
(((5/5)*(1*5))/((7*0)*(8+9)))	(/(*(/55)(*15))(*(*70)(+89)))	(((55/)(15*)*)((70*)(89+)*)/)
(((1+0)-(0*3))-((1/6)*(5/1)))	(-(-(+10)(*03))(*(/16)(/51)))	(((10+)(03*)-)((16/)(51/)*)-)
((2-(6/0))*((8/3)+3))	(*(-2(/60))(+(/83)3))	((2(60/)-)((83/)3+)*)
(((7+6)+(1-7))/((9*6)-(5-5)))	(/(+(+76)(-17))(-(*96)(-55)))	(((76+)(17-)+)((96*)(55-)-)/)
(((0-5)/(4*6))*(6/(1+7)))	(*(/(-05)(*46))(/6(+17)))	(((05-)(46*)/)(6(17+)/)*)
((1-(5+7))+((6-7)+(2-5)))	(+(-1(+57))(+(-67)(-25)))	((1(57+)-)((67-)(25-)+)+)
(((4+7)/3)+((1*9)-(8+5)))	(+(/(+47)3)(-(*19)(+85)))	(((47+)3/)((19*)(85+)-)+)
(((0+5)+9)/((2-7)*(7/8)))	(/(+(+05)9)(*(-27)(/78)))	(((05+)9+)((27-)(78/)*)/)
(((1/6)-(7/1))+((2/6)+(1+2)))	(+(-(/16)(/71))(+(/26)(+12)))	(((16/)(71/)-)((26/)(12+)+)+)
(((6/2)-(4+3))*(3*0))	(*(-(/62)(+43))(*30))	(((62/)(43+)-)(30*)*)
((4-(5+0))+((1-5)/(1+9)))	(+(-4(+50))(/(-15)(+19)))	((4(50+)-)((15-)(19+)/)+)
(((7/2)*(1-8))-((0*2)*(3+6)))	(-(*(/72)(-18))(*(*02)(+36)))	(((72/)(18-)*)((02*)(36+)*)-)
(((5+7)/(7-2))+((8-7)-(0-9)))	(+(/(+57)(-72))(-(-87)(-09)))	(((57+)(72-)/)((87-)(09-)-)+)
(((0+3)+(4+8))+((8+8)-(5+7)))	(+(+(+03)(+48))(-(+88)(+57)))	(((03+)(48+)+)((88+)(57+)-)+)
(((2*5)+(3-4))*((4+3)+(4-2)))	(*(+(*25)(-34))(+(+43)(-42)))	(((25*)(34-)+)((43+)(42-)+)*)
(2-((4/5)+(8/7)))	(-2(+(/45)(/87)))	(2((45/)(87/)+)-)
(((5-6)+(7+2))/((7-3)/5))	(/(+(-56)(+72))(/(-73)5))	(((56-)(72+)+)((73-)5/)/)
(((0*7)*(2*0))/((4/4)+(2-4)))	(/(*(*07)(*20))(+(/44)(-24)))	(((07*)(20*)*)((44/)(24-)+)/)
((8+(1/3))*(7/(9*7)))	(*(+8(/13))(/7(*97)))	((8(13/)+)(7(97*)/)*)
(((1-3)-(5+5))-(7-8))	(-(-(-13)(+55))(-78))	(((13-)(55+)-)(78-)-)
(((4-3)/(6-0))/((1-8)/(9+1)))	(/(/(-43)(-60))(/(-18)(+91)))	(((43-)(60-)/)((18-)(91+)/)/)
(((2/4)-(6-9))+((6*1)/(9/3)))	(+(-(/24)(-69))(/(*61)(/93)))	(((24/)(69-)-)((61*)(93/)/)+)
(((9/8)+(5+5))/((6*6)+8))	(/(+(/98)(+55))(+(*66)8))	(((98/)(55+)+)((66*)8+)/)
(((8*0)*(4*7))-((9-6)/(9+9)))	(-(*(*80)(*47))(/(-96)(+99)))	(((80*)(47*)*)((96-)(99+)/)-)
(((6*0)/(9+5))-((9+5)/(9-3)))	(-(/(*60)(+95))(/(+95)(-93)))	(((60*)(95+)/)((95+)(93-)/)-)
(((5/3)-(7+0))-((9*1)/5))	(-(-(/53)(+70))(/(*91)5))	(((53/)(70+)-)((91*)5/)-)
(((2/3)+(7*4))-((2/4)*(6+4)))	(-(+(/23)(*74))(*(/24)(+64)))	(((23/)(74*)+)((24/)(64+)*)-)
(((7*9)/6)*((0/5)*(4*0)))	(*(/(*79)6)(*(/05)(*40)))	(((79*)6/)((05/)(40*)*)*)
((5/1)-((3-9)/8))	(-(/51)(/(-39)8))	((51/)((39-)8/)-)
(((4/5)*(5*0))-((1/9)-(9-4)))	(-(*(/45)(*50))(-(/19)(-94)))	(((45/)(50*)*)((19/)(94-)-)-)
(((1/3)*(7+5))*((3+8)*(4-9)))	(*(*(/13)(+75))(*(+38)(-49)))	(((13/)(75+)*)((38+)(49-)*)*)
(((2-6)+(2*0))+((5/4)*(6+8)))	(+(+(-26)(*20))(*(/54)(+68)))	(((26-)(20*)+)((54/)(68+)*)+)
(((6+2)-5)-(4/(7+9)))	(-(-(+62)5)(/4(+79)))	(((62+)5-)(4(79+)/)-)
(((9*5)-(5*5))+((1*2)-(0*7)))	(+(-(*95)(*55))(-(*12)(*07)))	(((95*)(55*)-)((12*)(07*)-)+)
((1-(8+9))/((2+5)-(6*7)))	(/(-1(+89))(-(+25)(*67)))	((1(89+)-)((25+)(67*)-)/)
(((7-4)*8)*((3-1)/(3*5)))	(*(*(-74)8)(/(-31)(*35)))	(((74-)8*)((31-)(35*)/)*)
(((7+3)-(7/6))*((3+1)+(9+5)))	(*(-(+73)(/76))(+(+31)(+95)))	(((73+)(76/)-)((31+)(95+)+)*)
(((0-7)+(9/5))/((5*3)-(1/1)))	(/(+(-07)(/95))(-(*53)(/11)))	(((07-)(95/)+)((53*)(11/)-)/)
((7*(2*8))-((4*5)/8))	(-(*7(*28))(/(*45)8))	((7(28*)*)((45*)8/)-)
(((3/7)/(3-4))/((6*5)+(3+0)))	(/(/(/37)(-34))(+(*65)(+30)))	(((37/)(34-)/)((65*)(30+)+)/)
((9+(8/0))*((6/1)/(9+0)))	(*(+9(/80))(/(/61)(+90)))	((9(80/)+)((61/)(90+)/)*)
(((3*9)*4)/(6/(9+3)))	(/(*(*39)4)(/6(+93)))	(((39*)4*)(6(93+)/)/)
((9*(3-0))*(2/(3+4)))	(*(*9(-30))(/2(+34)))	((9(30-)*)(2(34+)/)*)
((4/(9+0))-((9-8)-(9+8)))	(-(/4(+90))(-(-98)(+98)))	((4(90+)/)((98-)(98+)-)-)
((9+(4-4))/(0/(6+1)))	(/(+9(-44))(/0(+61)))	((9(44-)+)(0(61+)/)/)
(((8*6)-(3+4))-((1/6)/(8-7)))	(-(-(*86)(+34))(/(/16)(-87)))	(((86*)(34+)-)((16/)(87-)/)-)
(((4-5)/(7/2))+((1+2)*(0+6)))	(+(/(-45)(/72))(*(+12)(+06)))	(((45-)(72/)/)((12+)(06+)*)+)
((9+(0-0))/(1-(0*0)))	(/(+9(-00))(-1(*00)))	((9(00-)+)(1(00*)-)/)
(((4-8)/(1-9))-((1*2)+7))	(-(/(-48)(-19))(+(*12)7))	(((48-)(19-)/)((12*)7+)-)
(((5/4)/(9-5))*(3+(6-7)))	(*(/(/54)(-95))(+3(-67)))	(((54/)(95-)/)(3(67-)+)*)
(((9-5)/(9*2))*(0/(2*7)))	(*(/(-95)(*92))(/0(*27)))	(((95-)(92*)/)(0(27*)/)*)
((6-(8-8))-((0+8)+(0-2)))	(-(-6(-88))(+(+08)(-02)))	((6(88-)-)((08+)(02-)+)-)
(((9*6)/(5*4))-((7*4)+(8+8)))	(-(/(*96)(*54))(+(*74)(+88)))	(((96*)(54*)/)((74*)(88+)+)-)
((2*0)+((3+4)+0))	(+(*20)(+(+34)0))	((20*)((34+)0+)+)
((2+(5*7))+((2/4)+(2/7)))	(+(+2(*57))(+(/24)(/27)))	((2(57*)+)((24/)(27/)+)+)
(((4-5)+(2-0))/((4+8)*(1*0)))	(/(+(-45)(-20))(*(+48)(*10)))	(((45-)(20-)+)((48+)(10*)*)/)
(((9/7)-(1*5))*(3+(3+5)))	(*(-(/97)(*15))(+3(+35)))	(((97/)(15*)-)(3(35+)+)*)
(((5-8)-(3-5))-((2*4)/(1-8)))	(-(-(-58)(-35))(/(*24)(-18)))	(((58-)(35-)-)((24*)(18-)/)-)
(((5/0)/(1-9))-((8-4)/(3+6)))	(-(/(/50)(-19))(/(-84)(+36)))	(((50/)(19-)/)((84-)(36+)/)-)
(((2-1)-(0*7))+((6/2)-(1+2)))	(+(-(-21)(*07))(-(/62)(+12)))	(((21-)(07*)-)((62/)(12+)-)+)
(((3+3)-(5+1))/(1*(1*7)))	(/(-(+33)(+51))(*1(*17)))	(((33+)(51+)-)(1(17*)*)/)
((7-3)-((6-4)-(0-1)))	(-(-73)(-(-64)(-01)))	((73-)((64-)(01-)-)-)
(((7/1)-(2-1))/((9/0)/(5*0)))	(/(-(/71)(-21))(/(/90)(*50)))	(((71/)(21-)-)((90/)(50*)/)/)
((1-(0/2))/3)	(/(-1(/02))3)	((1(02/)-)3/)
