A cat thought that Lucas liked that Olivia liked that the giraffe liked that Aiden liked that the mouse liked that Benjamin wished that Liam wished that a hero imagined that Matthew hoped that Emma hated to cook .	* giraffe ( x _ 11 ) ; * mouse ( x _ 18 ) ; cat ( x _ 1 ) AND think . agent ( x _ 2 , x _ 1 ) AND think . ccomp ( x _ 2 , x _ 5 ) AND like . agent ( x _ 5 , Lucas ) AND like . ccomp ( x _ 5 , x _ 8 ) AND like . agent ( x _ 8 , Olivia ) AND like . ccomp ( x _ 8 , x _ 12 ) AND like . agent ( x _ 12 , x _ 11 ) AND like . ccomp ( x _ 12 , x _ 15 ) AND like . agent ( x _ 15 , Aiden ) AND like . ccomp ( x _ 15 , x _ 19 ) AND like . agent ( x _ 19 , x _ 18 ) AND like . ccomp ( x _ 19 , x _ 22 ) AND wish . agent ( x _ 22 , Benjamin ) AND wish . ccomp ( x _ 22 , x _ 25 ) AND wish . agent ( x _ 25 , Liam ) AND wish . ccomp ( x _ 25 , x _ 29 ) AND hero ( x _ 28 ) AND imagine . agent ( x _ 29 , x _ 28 ) AND imagine . ccomp ( x _ 29 , x _ 32 ) AND hope . agent ( x _ 32 , Matthew ) AND hope . ccomp ( x _ 32 , x _ 35 ) AND hate . agent ( x _ 35 , Emma ) AND hate . xcomp ( x _ 35 , x _ 37 ) AND cook . agent ( x _ 37 , Emma )	cp_recursion
Olivia said that a hippo ate .	say . agent ( x _ 1 , Olivia ) AND say . ccomp ( x _ 1 , x _ 5 ) AND hippo ( x _ 4 ) AND eat . agent ( x _ 5 , x _ 4 )	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
A girl juggled a cow in the sink in a vase on a table in a house in the hole beside a gardner in the vehicle on the log beside a book .	* sink ( x _ 7 ) ; * hole ( x _ 19 ) ; * vehicle ( x _ 25 ) ; * log ( x _ 28 ) ; girl ( x _ 1 ) AND juggle . agent ( x _ 2 , x _ 1 ) AND juggle . theme ( x _ 2 , x _ 4 ) AND cow ( x _ 4 ) AND cow . nmod . in ( x _ 4 , x _ 7 ) AND sink . nmod . in ( x _ 7 , x _ 10 ) AND vase ( x _ 10 ) AND vase . nmod . on ( x _ 10 , x _ 13 ) AND table ( x _ 13 ) AND table . nmod . in ( x _ 13 , x _ 16 ) AND house ( x _ 16 ) AND house . nmod . in ( x _ 16 , x _ 19 ) AND hole . nmod . beside ( x _ 19 , x _ 22 ) AND gardner ( x _ 22 ) AND gardner . nmod . in ( x _ 22 , x _ 25 ) AND vehicle . nmod . on ( x _ 25 , x _ 28 ) AND log . nmod . beside ( x _ 28 , x _ 31 ) AND book ( x _ 31 )	pp_recursion
The girl appreciated Lina .	* girl ( x _ 1 ) ; appreciate . agent ( x _ 2 , x _ 1 ) AND appreciate . theme ( x _ 2 , Lina )	subj_to_obj_proper
Emma ate Paula .	eat . agent ( x _ 1 , Emma ) AND eat . theme ( x _ 1 , Paula )	prim_to_obj_proper
A boy liked that a hippo ate .	boy ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 6 ) AND hippo ( x _ 5 ) AND eat . agent ( x _ 6 , x _ 5 )	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
A writer needed to crawl .	writer ( x _ 1 ) AND need . agent ( x _ 2 , x _ 1 ) AND need . xcomp ( x _ 2 , x _ 4 ) AND crawl . agent ( x _ 4 , x _ 1 )	prim_to_inf_arg
Liam shipped James a pretzel .	ship . agent ( x _ 1 , Liam ) AND ship . recipient ( x _ 1 , James ) AND ship . theme ( x _ 1 , x _ 4 ) AND pretzel ( x _ 4 )	pp_dative_to_do_dative
The raisin was blessed by a sailor .	* raisin ( x _ 1 ) ; bless . theme ( x _ 3 , x _ 1 ) AND bless . agent ( x _ 3 , x _ 6 ) AND sailor ( x _ 6 )	active_to_passive
A dog baked the boy .	* boy ( x _ 4 ) ; dog ( x _ 1 ) AND bake . agent ( x _ 2 , x _ 1 ) AND bake . theme ( x _ 2 , x _ 4 )	obj_omitted_transitive_to_transitive
